Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,1/4/16,656.289978,657.719971,627.51001,636.98999,636.98999,9314500
AMZN,1/5/16,646.859985,646.909973,627.650024,633.789978,633.789978,5822600
AMZN,1/6/16,622,639.789978,620.309998,632.650024,632.650024,5329200
AMZN,1/7/16,621.799988,630,605.210022,607.940002,607.940002,7074900
AMZN,1/8/16,619.659973,624.140015,606,607.049988,607.049988,5512900
AMZN,1/11/16,612.47998,619.849976,598.570007,617.73999,617.73999,4891600
AMZN,1/12/16,625.25,625.98999,612.23999,617.890015,617.890015,4724100
AMZN,1/13/16,620.880005,620.880005,579.159973,581.809998,581.809998,7655200
AMZN,1/14/16,580.25,602.25,569.880005,593,593,7238000
AMZN,1/15/16,572.23999,584.619995,565.299988,570.179993,570.179993,7784500
AMZN,1/19/16,577.090027,584,566.450012,574.47998,574.47998,4807200
AMZN,1/20/16,564.359985,578.450012,547.179993,571.77002,571.77002,7966400
AMZN,1/21/16,573.580017,588.809998,568.219971,575.02002,575.02002,4952200
AMZN,1/22/16,588.72998,600.099976,584.109985,596.380005,596.380005,5120100
AMZN,1/25/16,597.98999,608.5,594.559998,596.530029,596.530029,4396100
AMZN,1/26/16,603.450012,604.5,590.380005,601.25,601.25,3765700
AMZN,1/27/16,601.98999,603.390015,578.780029,583.349976,583.349976,5152900
AMZN,1/28/16,608.369995,638.059998,597.549988,635.349976,635.349976,14015200
AMZN,1/29/16,571.97998,593,570,587,587,14677600
AMZN,2/1/16,578.150024,581.799988,570.309998,574.809998,574.809998,6355100
AMZN,2/2/16,570,571.559998,550.090027,552.099976,552.099976,6312000
AMZN,2/3/16,553.5,556,521.900024,531.070007,531.070007,10048700
AMZN,2/4/16,525,538.98999,519.219971,536.26001,536.26001,6199100
AMZN,2/5/16,529.280029,529.450012,499.190002,502.130005,502.130005,9708900
AMZN,2/8/16,486.470001,493.5,475.209991,488.100006,488.100006,9825500
AMZN,2/9/16,478.01001,498.380005,474,482.070007,482.070007,7077900
AMZN,2/10/16,491.76001,504.660004,486,490.480011,490.480011,6786200
AMZN,2/11/16,491.170013,509.299988,484,503.820007,503.820007,7397400
AMZN,2/12/16,510.700012,516.75,501.48999,507.079987,507.079987,5384800
AMZN,2/16/16,519.47998,524.450012,511.660004,521.099976,521.099976,5118500
AMZN,2/17/16,528.73999,537.47998,519.390015,534.099976,534.099976,4824000
AMZN,2/18/16,541.190002,541.200012,523.72998,525,525,4735000
AMZN,2/19/16,520.710022,535.950012,515.349976,534.900024,534.900024,4974700
AMZN,2/22/16,542.200012,560.650024,541.080017,559.5,559.5,5566600
AMZN,2/23/16,555.549988,556.909973,545.330017,552.940002,552.940002,4050800
AMZN,2/24/16,545.75,554.27002,533.150024,554.039978,554.039978,6231700
AMZN,2/25/16,555.52002,559.390015,545.289978,555.150024,555.150024,4525500
AMZN,2/26/16,560.119995,562.5,553.169983,555.22998,555.22998,4877000
AMZN,2/29/16,554,564.809998,552.51001,552.52002,552.52002,4145400
AMZN,3/1/16,556.289978,579.25,556,579.039978,579.039978,5038500
AMZN,3/2/16,581.75,585,573.700012,580.210022,580.210022,4582200
AMZN,3/3/16,577.960022,579.869995,573.109985,577.48999,577.48999,2741300
AMZN,3/4/16,581.070007,581.400024,571.070007,575.140015,575.140015,3416500
AMZN,3/7/16,573.539978,573.630005,555.549988,562.799988,562.799988,4926900
AMZN,3/8/16,557.869995,571.349976,554.73999,560.26001,560.26001,4730000
AMZN,3/9/16,559.559998,560.349976,550.130005,559.469971,559.469971,4377300
AMZN,3/10/16,566.73999,567,547.900024,558.929993,558.929993,3919900
AMZN,3/11/16,566.950012,570.059998,562.72998,569.609985,569.609985,3771300
AMZN,3/14/16,567,576.890015,563.049988,573.369995,573.369995,3454200
AMZN,3/15/16,571,581.52002,567,577.02002,577.02002,3876800
AMZN,3/16/16,576.640015,581.320007,571.140015,574.27002,574.27002,3537700
AMZN,3/17/16,569.51001,571.400024,555.01001,559.440002,559.440002,5928100
AMZN,3/18/16,560.940002,562.330017,546.090027,552.080017,552.080017,7296900
AMZN,3/21/16,548.909973,555.23999,538.580017,553.97998,553.97998,5155700
AMZN,3/22/16,545.109985,562.76001,545.049988,560.47998,560.47998,4000600
AMZN,3/23/16,561,572.47998,558.099976,569.630005,569.630005,3983700
AMZN,3/24/16,567.109985,583.549988,567.080017,582.950012,582.950012,5185500
AMZN,3/28/16,584.400024,584.75,575.559998,579.869995,579.869995,3121500
AMZN,3/29/16,580.150024,595.849976,576.5,593.859985,593.859985,4392600
AMZN,3/30/16,596.710022,603.23999,595,598.690002,598.690002,3890500
AMZN,3/31/16,599.280029,600.75,592.210022,593.640015,593.640015,2681800
AMZN,4/1/16,590.48999,599.030029,588.299988,598.5,598.5,2917400
AMZN,4/4/16,599,599.5,590.549988,593.190002,593.190002,2470800
AMZN,4/5/16,590.77002,593.469971,585.25,586.140015,586.140015,2308900
AMZN,4/6/16,587.52002,602.390015,587.5,602.080017,602.080017,2849900
AMZN,4/7/16,598.76001,599.599976,589.080017,591.429993,591.429993,3189000
AMZN,4/8/16,594.320007,597.859985,589,594.599976,594.599976,2591900
AMZN,4/11/16,596.140015,604,594.909973,595.929993,595.929993,2704300
AMZN,4/12/16,598.400024,604.059998,592.309998,603.169983,603.169983,2641100
AMZN,4/13/16,607.679993,616.809998,605.289978,614.820007,614.820007,4228300
AMZN,4/14/16,615.070007,624.380005,615.070007,620.75,620.75,3512100
AMZN,4/15/16,621.919983,626.77002,618.109985,625.890015,625.890015,2887700
AMZN,4/18/16,625.349976,637.640015,624.960022,635.349976,635.349976,4360900
